受賞作,著者,賞タイトル,著者__受賞・最終候補作,ISBN10,calil,ImageURL
送り火,高橋弘希,芥川賞,高橋弘希__送り火,4163908730,https://calil.jp/book/4163908730,https://images-na.ssl-images-amazon.com/images/P/4163908730.09.LZZZZZZZ
透明な季節,梶龍雄,江戸川乱歩賞,梶龍雄__透明な季節,4061361759,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
連絡員,倉光俊夫,芥川賞,倉光俊夫__連絡員,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
連鎖,真保裕一,江戸川乱歩賞,真保裕一__連鎖,406524594X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
遊廓島心中譚,霜月流,江戸川乱歩賞,霜月流__遊廓島心中譚,4065368316,https://calil.jp/book/4065368316,https://images-na.ssl-images-amazon.com/images/P/4065368316.09.LZZZZZZZ
運転士,藤原智美,芥川賞,藤原智美__運転士,4062061120,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
過越しの祭,米谷ふみ子,芥川賞,米谷ふみ子__過越しの祭,4006020554,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
道化師の蝶,円城塔,芥川賞,円城塔__道化師の蝶,4062175614,https://calil.jp/book/4062175614,https://images-na.ssl-images-amazon.com/images/P/4062175614.09.LZZZZZZZ
道徳の時間,呉勝浩,江戸川乱歩賞,呉勝浩__道徳の時間,4062937344,https://calil.jp/book/4062196670,https://images-na.ssl-images-amazon.com/images/P/4062196670.09.LZZZZZZZ
遠いアメリカ,常盤新平,直木賞,常盤新平__遠いアメリカ,4093523290,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
遠い国からの殺人者,笹倉明,直木賞,笹倉明__遠い国からの殺人者,4163109005,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
遠い海から来たCOO,景山民夫,直木賞,景山民夫__遠い海から来たCOO,4048724851,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
邂逅の森,熊谷達也,山本周五郎賞 | 直木賞,熊谷達也__邂逅の森,4167724014,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鈴木主水,久生十蘭,直木賞,久生十蘭__鈴木主水,4777159787,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鉄道員（ぽっぽや）,浅田次郎,直木賞,浅田次郎__鉄道員（ぽっぽや）,4925053132,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
銀河鉄道の父,門井慶喜,直木賞,門井慶喜__銀河鉄道の父,4865966323,https://calil.jp/book/4062207508,https://images-na.ssl-images-amazon.com/images/P/4062207508.09.LZZZZZZZ
錯乱,池波正太郎,直木賞,池波正太郎__錯乱,4394121027,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鍋の中,村田喜代子,芥川賞,村田喜代子__鍋の中,4163099603,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
鍵のない夢を見る,辻村深月,直木賞,辻村深月__鍵のない夢を見る,4163813500,https://calil.jp/book/4163813500,https://images-na.ssl-images-amazon.com/images/P/4163813500.09.LZZZZZZZ
鏨師,平岩弓枝,直木賞,平岩弓枝__鏨師,4167710099,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
長崎ぶらぶら節,なかにし礼,直木賞,なかにし礼__長崎ぶらぶら節,4101154244,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
長江デルタ,多田裕計,芥川賞,多田裕計__長江デルタ,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
長男の出家,三浦清宏,芥川賞,三浦清宏__長男の出家,4828831940,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
長良川,豊田穣,直木賞,豊田穣__長良川,4769811144,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
闇に香る嘘,下村敦史,江戸川乱歩賞,下村敦史__闇に香る嘘,406219094X,https://calil.jp/book/406219094X,https://images-na.ssl-images-amazon.com/images/P/406219094X.09.LZZZZZZZ
闘牛,井上靖,芥川賞,井上靖__闘牛,410106301X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
限りなく透明に近いブルー,村上龍,芥川賞,村上龍__限りなく透明に近いブルー,4062763478,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
雁の寺,水上勉,直木賞,水上勉__雁の寺,4167118017,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
雁立,清水基吉,芥川賞,清水基吉__雁立,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
離婚,色川武大,直木賞,色川武大__離婚,4167296012,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
雨やどり,半村良,直木賞,半村良__雨やどり,4087495663,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
雲南守備兵,木村荘十,直木賞,木村荘十__雲南守備兵,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
青春デンデケデケデケ,芦原すなお,直木賞,芦原すなお__青春デンデケデケデケ,4591103234,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
青果の市,芝木好子,芥川賞,芝木好子__青果の市,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
青桐,木崎さと子,芥川賞,木崎さと子__青桐,4167465019,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
青玉獅子香炉,陳舜臣,直木賞,陳舜臣__青玉獅子香炉,4093524610,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
面・刺青,富田常雄,直木賞,富田常雄__面・刺青,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
