年,賞タイトル,賞,受賞・最終候補作,著者,出版,著者__受賞・最終候補作,key,追加日時,発表日,並べ順日付,ISBN10,複数受賞,calil,ImageURL,賞タイプ
2025,このミステリーがすごい!,海外04,ボタニストの殺人,M・W・クレイヴン,,M・W・クレイヴン__ボタニストの殺人,2025_このミステリーがすごい!_海外04_ボタニストの殺人_M・W・クレイヴン,2024/12/09 17:18:38,2024/12/09,2024/12/09,4151842551,4,https://calil.jp/book/4151842551,https://images-na.ssl-images-amazon.com/images/P/4151842551.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外05,ウナギの罠,ヤーン・エクストレム,,ヤーン・エクストレム__ウナギの罠,2025_このミステリーがすごい!_海外05_ウナギの罠_ヤーン・エクストレム,2024/12/09 17:18:38,2024/12/09,2024/12/09,4594094066,3,https://calil.jp/book/4594094066,https://images-na.ssl-images-amazon.com/images/P/4594094066.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外06,エイレングラフ弁護士の事件簿,ローレンス・ブロック,,ローレンス・ブロック__エイレングラフ弁護士の事件簿,2025_このミステリーがすごい!_海外06_エイレングラフ弁護士の事件簿_ローレンス・ブロック,2024/12/09 17:18:38,2024/12/09,2024/12/09,4167922789,3,https://calil.jp/book/4167922789,https://images-na.ssl-images-amazon.com/images/P/4167922789.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外07,すべての罪は血を流す,S・A・コスビー,,S・A・コスビー__すべての罪は血を流す,2025_このミステリーがすごい!_海外07_すべての罪は血を流_S・A・コスビー,2024/12/09 17:18:38,2024/12/09,2024/12/09,4596823960,3,https://calil.jp/book/4596823960,https://images-na.ssl-images-amazon.com/images/P/4596823960.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外08,魂に秩序を,マット・ラフ,,マット・ラフ__魂に秩序を,2025_このミステリーがすごい!_海外08_魂に秩序を_マット・ラフ,2024/12/09 17:18:38,2024/12/09,2024/12/09,410240581X,2,https://calil.jp/book/410240581X,https://images-na.ssl-images-amazon.com/images/P/410240581X.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外09,ぼくの家族はみんな誰かを殺してる,ベンジャミン・スティーヴンソン,,ベンジャミン・スティーヴンソン__ぼくの家族はみんな誰かを殺してる,2025_このミステリーがすごい!_海外09_ぼくの家族はみんな誰かを殺してる_ベンジャミン・スティーヴンソン,2024/12/09 17:18:38,2024/12/09,2024/12/09,4596961328,4,https://calil.jp/book/4596961328,https://images-na.ssl-images-amazon.com/images/P/4596961328.09.LZZZZZZZ,候補
2025,このミステリーがすごい!,海外09,身代わりの女,シャロン・ボルトン,,シャロン・ボルトン__身代わりの女,2025_このミステリーがすごい!_海外09_身代わりの女_シャロン・ボルトン,2024/12/09 17:18:38,2024/12/09,2024/12/09,4102405410,2,https://calil.jp/book/4102405410,https://images-na.ssl-images-amazon.com/images/P/4102405410.09.LZZZZZZZ,候補
2025,本格ミステリ・ベスト10,国内01,地雷グリコ,青崎有吾,,青崎有吾__地雷グリコ,2025_本格ミステリ・ベスト10_国内01_地雷グリコ_青崎有吾,2024/12/09 17:18:38,2024/12/09,2024/12/09,404111165X,8,https://calil.jp/book/404111165X,https://images-na.ssl-images-amazon.com/images/P/404111165X.09.LZZZZZZZ,1大賞!
2025,本格ミステリ・ベスト10,海外01,死はすぐそばに,アンソニー・ホロヴィッツ,,アンソニー・ホロヴィッツ__死はすぐそばに,2025_本格ミステリ・ベスト10_海外01_死はすぐそばに_アンソニー・ホロヴィッツ,2024/12/09 17:18:38,2024/12/09,2024/12/09,4488265154,4,https://calil.jp/book/4488265154,https://images-na.ssl-images-amazon.com/images/P/4488265154.09.LZZZZZZZ,1大賞!
2025,本格ミステリ・ベスト10,国内02,ぼくは化け物きみは怪物,白井智之,,白井智之__ぼくは化け物きみは怪物,2025_本格ミステリ・ベスト10_国内02_ぼくは化け物きみは怪物_白井智之,2024/12/09 17:18:38,2024/12/09,2024/12/09,4334104037,4,https://calil.jp/book/4334104037,https://images-na.ssl-images-amazon.com/images/P/4334104037.09.LZZZZZZZ,候補
