著者__受賞作,著者,受賞作,ISBN10,ImageURL,賞名,Calil
湊かなえ__リバース,湊かなえ,リバース,4062194864,https://images-na.ssl-images-amazon.com/images/P/4062194864.09.LZZZZZZZ,2016_吉川英治文学新人賞_第37回（2016年）候補_リバース_湊かなえ,https://calil.jp/book/4062194864
本城雅人__トリダシ,本城雅人,トリダシ,4163902937,https://images-na.ssl-images-amazon.com/images/P/4163902937.09.LZZZZZZZ,2016_吉川英治文学新人賞_第37回（2016年）候補_トリダシ_本城雅人,https://calil.jp/book/4163902937
赤川次郎__東京零年,赤川次郎,東京零年,4087716139,https://images-na.ssl-images-amazon.com/images/P/4087716139.09.LZZZZZZZ,2016_吉川英治文学賞_第50回/2016年_東京零年_赤川次郎,https://calil.jp/book/4087716139
橘沙羅__横濱つんてんらいら,橘沙羅,横濱つんてんらいら,4758412960,https://images-na.ssl-images-amazon.com/images/P/4758412960.09.LZZZZZZZ,2016_角川春樹小説賞_第8回（2016年）受賞_横濱つんてんらいら_橘沙羅,https://calil.jp/book/4758412960
山下澄人__しんせかい,山下澄人,しんせかい,4103503610,https://images-na.ssl-images-amazon.com/images/P/4103503610.09.LZZZZZZZ,2016_芥川賞_156回（2016年下半期）_しんせかい_山下澄人,https://calil.jp/book/4103503610
村田沙耶香__コンビニ人間,村田沙耶香,コンビニ人間,4163906185,https://images-na.ssl-images-amazon.com/images/P/4163906185.09.LZZZZZZZ,2016_芥川賞_155回（2016年上半期）_コンビニ人間_村田沙耶香,https://calil.jp/book/4163906185
いしいしんじ__悪声,いしいしんじ,悪声,4163902880,https://images-na.ssl-images-amazon.com/images/P/4163902880.09.LZZZZZZZ,2016_河合隼雄物語賞・学芸賞_第4回（2016年）物語賞_悪声_いしいしんじ,https://calil.jp/book/4163902880
武井弘一__江戸日本の転換点 水田の激増は何をもたらしたか,武井弘一,江戸日本の転換点 水田の激増は何をもたらしたか,4140912308,https://images-na.ssl-images-amazon.com/images/P/4140912308.09.LZZZZZZZ,2016_河合隼雄物語賞・学芸賞_第4回（2016年）学芸賞_江戸日本の転換点 水田の激増は何をもたらしたか_武井弘一,https://calil.jp/book/4140912308
逸木裕__虹を待つ彼女,逸木裕,虹を待つ彼女,4041047528,https://images-na.ssl-images-amazon.com/images/P/4041047528.09.LZZZZZZZ,2016_横溝正史ミステリ&ホラー大賞_第36回（2016年度）大賞_虹を待つ彼女_逸木裕,https://calil.jp/book/4041047528
児玉郎__輪廻の月,児玉郎,輪廻の月,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_横溝正史ミステリ&ホラー大賞_第36回（2016年度）候補_輪廻の月_児玉郎,https://calil.jp/search?q=%E5%85%90%E7%8E%89%E9%83%8E%20%E8%BC%AA%E5%BB%BB%E3%81%AE%E6%9C%88
森谷祐二__蹄の音を聞いたら縞馬ではなく馬だと思え,森谷祐二,蹄の音を聞いたら縞馬ではなく馬だと思え,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg,2016_横溝正史ミステリ&ホラー大賞_第36回（2016年度）候補_蹄の音を聞いたら縞馬ではなく馬だと思え_森谷祐二,https://calil.jp/search?q=%E6%A3%AE%E8%B0%B7%E7%A5%90%E4%BA%8C%20%E8%B9%84%E3%81%AE%E9%9F%B3%E3%82%92%E8%81%9E%E3%81%84%E3%81%9F%E3%82%89%E7%B8%9E%E9%A6%AC%E3%81%A7%E3%81%AF%E3%81%AA%E3%81%8F%E9%A6%AC%E3%81%A0%E3%81%A8%E6%80%9D%E3%81%88
